Density, %GOP
10.913942,76.69949
28.072956,69.39681
11.770644,63.466667
20.446035,64.9528
8.966005,66.219345
13.607693,72.68183
9.038361,69.5559
10.825316,59.422256
32.661114,35.278633
14.459329,64.43167
5.4096813,59.341423
11.361969,66.43488
6.5013614,37.791557
9.517552,60.695557
8.977387,68.5639
11.780335,71.65232
33.053616,76.9163
7.2455277,67.002045
10.034433,70.213394
26.384657,70.15724
19.44444,50.59031
5.049172,50.031567
4.578206,72.01946
5.585736,60.302116
5.3483486,71.63667
13.633059,54.387695
7.214595,68.48952
11.509243,33.346203
7.103274,77.008385
12.423584,67.54147
9.255702,79.26992
28.748583,74.25533
4.9764915,71.017845
183.29387,44.16366
10.57661,64.453735
,41.4032
56.929443,71.922325
4.849495,74.60993
4.724413,76.82892
88.996544,69.027725
11.394997,75.05386
9.754309,70.16543
7.8811755,73.562096
15.200714,63.372437
9.225922,70.49127
82.41463,58.44386
28.65456,77.62903
4.722276,47.79899
9.032919,70.14407
,18.963808
0.6038367,37.76
24.267637,59.73564
50.651443,52.02198
16.935253,58.731396
7.1726155,61.033108
506.74942,32.821815
8.988332,55.619446
39.117897,59.33639
59.88004,51.491764
,63.124718
12.827796,36.058514
15.087101,35.340073
0.6991518,56.063965
39.874023,59.735
42.463463,58.31806
18.812094,41.412395
2.8475852,70.46094
798.4298,29.766077
27.163084,59.928047
117.877266,24.119549
4.820867,59.00985
8.742754,30.174139
50.270424,47.2492
0.8906163,71.40288
4.5415072,46.105526
42.630554,32.66579
67.0485,36.84477
39.151314,52.3951
1229.0096,54.23138
89.970535,60.249542
2.9477046,58.810326
,50.213936
551.83276,41.39146
15.410777,41.257072
39.215668,47.23527
264.8899,47.397194
1340.7177,13.761603
186.1903,44.380985
28.841488,49.49411
,27.134312
43.27014,41.217785
,28.430145
167.2134,21.897287
17.795425,65.109505
1.2959707,61.8267
2.7311847,58.062992
176.28946,35.66956
105.853134,26.835518
131.3563,49.621857
60.140007,61.107872
8.295199,64.144325
1.6570617,50.574234
35.212788,59.103073
9.375966,58.20818
,47.100662
75.804726,32.93289
43.384933,60.05631
144.9265,42.275726
8.263866,41.590733
275.7532,45.754112
3.4387312,59.230057
0.5740948,77.083336
1.6203262,57.509556
151.75151,28.71174
787.83093,46.995354
6.771053,49.909237
0.39780882,84.117645
8.891075,43.913685
2.4796073,45.143433
1.1099652,25.042686
2.815167,63.331047
2.2310443,67.32373
10.379729,70.32149
1504.1284,24.955816
0.7458134,71.80805
131.44144,63.456356
11.880629,42.51426
113.68424,60.942753
4.822418,74.1271
